userName,score,at,content
Infinix Rc,5,2025-10-03 06:48:52,bagus
Mey raa,5,2025-10-03 06:48:04,like bang pindah
Veni,1,2025-10-03 06:46:08,akun hilang
Aqilaalzahra Zahra,5,2025-10-03 06:45:15,bagus seruu
fais aska,5,2025-10-03 06:43:51,seruu
Muhammad Ikbal,5,2025-10-03 06:41:04,🔥🔥
Arya Ganteng,5,2025-10-03 06:33:25,semoga aku hoki
Jeni Nuraeni,5,2025-10-03 06:29:55,game ini seru tapi banyak kekurangan
Sullimah Sullimah,5,2025-10-03 06:24:23,kerja bagus
Aura Yahaira16,5,2025-10-03 06:23:20,saya suka dengan game ini dan ini adalah game favorit sayaa
Khansaa,5,2025-10-03 06:22:27,enak banget cuyyyy
Bintang Triatna,5,2025-10-03 06:20:37,game burik
Langit Hermawan,5,2025-10-03 06:17:53,aku suka game ini tapi hokiin dong Garena bentar lagi aku top up ya garena
Fauzan maulana Firmansyah,5,2025-10-03 06:17:51,aku main epep sejak tahun 2017
Noni Noni,5,2025-10-03 06:10:14,game nya sangat seru
Ardin Rena,5,2025-10-03 06:05:17,🍌🍌🍌🍌
Rezki,5,2025-10-03 06:05:16,gem nya bagus ga kaya gem sebelah semangat buat developer nya
Rafi,5,2025-10-03 06:02:04,cepat
Bisam Abrisam,1,2025-10-03 05:58:55,kenapa bang budi 01 gaming di band permanen di game burik
M Febri,5,2025-10-03 05:55:34,sangat senang
Cila,5,2025-10-03 05:52:35,👍👍👍🌹🌹🌹
Yuda Juliansyah,1,2025-10-03 05:48:10,game rusak di csr banyak orang cit pake tele kagak di ban rusak
Kenzie Dafa,5,2025-10-03 05:48:01,sangat seru untuk dimainkan
Raden Mas,3,2025-10-03 05:47:12,kurang grafik min
Neng Ratu,5,2025-10-03 05:44:32,game nya memang seru tapi bug nya banyak banget plis garena perbaiki bug nya
uzumaki naruto,2,2025-10-03 05:41:44,aneh burik
Nabila Putri,5,2025-10-03 05:40:36,seruu banget hero dan skin nya bagus bagus
Abid Pratama,1,2025-10-03 05:36:04,gua beri bintang satu karena bg Budi gk bisa main emg anj
Rehan Nasution,5,2025-10-03 05:35:31,"tolong ih, jangan banyakin chiter nya, tolong hargai pemain lain nya,dan buk nya di hilangkan semua"
Eza Novalio,5,2025-10-03 05:33:06,"seru bet cok, pokoknya mantep lah"
Mini Juflin,5,2025-10-03 05:32:48,Bagus unik bisa cari pacar di sini game ini
Damar Irsyad,5,2025-10-03 05:32:08,game nya seru banget
BONUSE Dy,5,2025-10-03 05:26:43,Terima Kasih!
septi kusuma,5,2025-10-03 05:23:30,gem ini Sangat bagus
akunmobilelegend,1,2025-10-03 05:23:19,burik jelek
Rafa alrazi,5,2025-10-03 05:19:41,season game ff ini sangat singkat saya tidak sempat push renk
Arif Firmanto,5,2025-10-03 05:17:35,aku mau dm 1000
Muhammad Akbaru iqbal,1,2025-10-03 05:13:21,game banyak bug
STOK 18,4,2025-10-03 05:12:18,tolong lah kepada mimin Garena kita sebagai Player marah' ketika main game ini di karemakan sinyal padahal jaringannya bagus jadi tolong ya segera di perbaiki 🙏😇
Mardiani,5,2025-10-03 05:11:32,game bagus
Redmi A1,1,2025-10-03 05:08:37,tolong lah Garena di perbaiki gem nya... Samat masuk harus tunggu beberapa menit... makin rosak aja ini epep
Kanzia Nur maulidia,4,2025-10-03 05:07:28,seru
Rian Alfazar,5,2025-10-03 05:03:46,game nya bisa entod entod
Sopiyan,4,2025-10-03 04:55:01,bagus
runa cakep,2,2025-10-03 04:54:57,"ini kenapa di update terus ya, hp gw ngelagg woi lama lama pengen gw hapus aja ni game nya padahal dulu bagus sekarang bikin hp ngelag padahal udah beli hp baru gw tetap ngelagg teruss capek gw season cepet banget lagi perasaan dulu GK secepat ini"
Cekdo Do,1,2025-10-03 04:53:42,Budi 01 gaming
Nurwana Kabir,1,2025-10-03 04:48:56,riana riana riana
Indah Device,1,2025-10-03 04:48:18,main game lain aja di ban dari game 😹
Muhamad Epan,5,2025-10-03 04:44:14,musuh nya bot semua
Rahmad Ilminasir,1,2025-10-03 04:38:34,GARENA yg terhormat coba di CS RANK tokonya semua hayato terima kasih😁😅
Rahmat Setiyadi,5,2025-10-03 04:37:37,keli memang mantap
Ikram Muhzulwal,5,2025-10-03 04:36:11,game ini seru banget
Miftakhul Khoiri,2,2025-10-03 04:33:47,makin tahun makin jelek event eventnya apalah skin SG 2 cuma di kasih efek sedikit ga sesuai banget sama harganya statistik cuma nambah moment speed lagi sebagai game yang pernah No 1 di play store menurut saya event yang sekarang jelek parah banget
Dodi Suprodi,5,2025-10-03 04:31:03,game nya bagus dan bikin bosen ngilang
Wonokoyo Team,5,2025-10-03 04:31:02,mintak DM 100.000
Abdillah Azka,5,2025-10-03 04:28:11,aku suka freefayer
Nabila Raisya,5,2025-10-03 04:25:22,sangat seru
Putu Sintya,5,2025-10-03 04:23:10,eleppyu epep
Rizz X,5,2025-10-03 04:23:01,bagus
Fatan Faturahman,1,2025-10-03 04:18:40,kacang lupa kulit
madi expand,5,2025-10-03 04:16:42,pengin Gren master dan dapat dm 6000 biar bisa prem 4
Vivo V,5,2025-10-03 04:12:46,bagus
Jefrianus Bolo dadi,5,2025-10-03 04:10:20,tolong jaringan gamenya diperbaiki 🥹
Elvi Oke,5,2025-10-03 04:09:39,baik
Ita Rosita,5,2025-10-03 04:05:05,pxegxt
Syakirah rania Insyirah,5,2025-10-03 04:03:12,wajib download tapi untuk Garena plis lah kalo spin kasih hoki dikit
widya pranita,5,2025-10-03 04:00:09,game nya seru sekali aku ingi menjadi yutuber free fire
Abisam Reynan,5,2025-10-03 03:59:57,saya cinta free free
puskesmas mersam,4,2025-10-03 03:55:45,game nya keren bagus tapi masih banyak bug nya sekarang item old jadi pasaran kayak topi jerami Kakashi tolong Garena poles sedikit lagi
Nazwa Djailany,5,2025-10-03 03:49:51,gem yang bagus
Adya Sep,5,2025-10-03 03:46:25,balikin akun lama gw
yayat x,1,2025-10-03 03:45:25,game burik
M.Hidayat Dayat,1,2025-10-03 03:44:14,apalah bg budi akunnya di bl cuman gara2 main blood strike garena baperan lol
Kresna Patria Nurutama,5,2025-10-03 03:42:07,bagus
Boom Berr,5,2025-10-03 03:32:24,game ini sangat bagus
Ahmad Wahyudi,5,2025-10-03 03:29:01,top games
Rizal Fatullah,5,2025-10-03 03:24:02,hehe
Adzan Muntadza,5,2025-10-03 03:23:52,ok
Fauzi Adia,1,2025-10-03 03:19:36,"blog, orang cuman nerima endorse dari game lain, ampe akun ff bang budi di blacklist"
Bukit Ponsel,5,2025-10-03 03:10:33,sangat puas
Alfatih Azfar,5,2025-10-03 03:00:47,epep selamanya
Iwan Nursahid,5,2025-10-03 02:56:20,permainannya sangat bagus tapi kalo kalah sekali langsung di gantiin lawan bot :(
Sini Tomo Tomo,5,2025-10-03 02:53:28,bagus bjir
Slamet Widodo,1,2025-10-03 02:52:41,gk di kasih hoki tiyap spin jck
Muhammad Hasan Hasan,4,2025-10-03 02:50:27,mantap min tolong dikecilin dkit mb nya ntar ku kasih bintang 10
idal Ubay,1,2025-10-03 02:49:41,game ini jelek ga bagus
Dimas Rani,5,2025-10-03 02:27:13,gamenya sangat menghibur
